Nº OCORRENCIA;DATA DO FATO;HORA DO FATO;GRUPO DE INCIDENTE;TIPO DE INCIDENTE;UF;MUNICIPIO;BAIRRO;TIPO LOCAL
50154509;09/02/2023;11:11:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;ECOPORANGA;CENTRO;Via PUblica
50222976;10/02/2023;19:37:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SAO GABRIEL DA PALHA;BOA VISTA;Via PUblica
50233239;11/02/2023;19:31:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CARIACICA;RETIRO SAUDOSO;Via PUblica
50233010;11/02/2023;19:08:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;LAGOA DE JACARAIPE;Via PUblica
50227273;11/02/2023;04:38:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;ULISSES GUIMARAES;Via PUblica
50232516;11/02/2023;18:18:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;ANDORINHAS;Estabelecimento Comercial
50232357;11/02/2023;17:53:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;FORTE SAO JOAO;Via PUblica
50242703;12/02/2023;16:30:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;AGUA DOCE DO NORTE;CENTRO;Via PUblica
50239190;12/02/2023;05:52:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;COLATINA;BELA VISTA;Via PUblica
50244888;12/02/2023;20:48:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;CONCEICAO DA BARRA;ZONA RURAL;DomicIlio
50246005;12/02/2023;22:58:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VENDA NOVA DO IMIGRANTE;ZONA RURAL;Via PUblica
50267597;14/02/2023;15:28:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;COLATINA;PERPETUO SOCORRO;Via PUblica
50259955;14/02/2023;08:33:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;IUNA;CENTRO;Via PUblica
50264968;14/02/2023;16:05:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;COBILANDIA;Via PUblica
50259316;14/02/2023;13:27:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VITORIA;MARIA ORTIZ;Via PUblica
50273914;15/02/2023;13:39:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;PEDRO CANARIO;CANARINHO;Via PUblica
50277011;15/02/2023;19:04:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;SERRA;CENTRAL CARAPINA;Via PUblica
50284721;16/02/2023;15:20:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;LINHARES;NOVA ESPERANCA;Via PUblica
50287233;16/02/2023;19:57:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;BOA VISTA II;Via PUblica
50285862;16/02/2023;17:11:00;CRIMES CONTRA A PESSOA;CRIMES CONTRA A PESSOA: HOMICIDIO DOLOSO;ES;VILA VELHA;IBES;Via PUblica
